production_name,genome_uuid,meta_key,desired_meta_value,dataset_type,species_id,table_location
,9cd853e5-1bf2-4dce-a69b-b03f5671c313,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,712d4949-bccc-40ec-90c6-a20180d46c8e,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,b3518a53-bd35-48b2-8a44-e8b331a66feb,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,91637725-9ade-442d-aa98-299df56a8550,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,8046b0cd-bd6a-4af2-9631-5028a145ebfd,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,de762db5-b0a9-4f93-87f5-18c2d75526af,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,9d3b2ead-a987-4f08-8d18-10a1eb1e0fb0,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,1978deac-c5fe-450b-9d46-2c9d988c3870,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,27be510b-c431-434c-a6f5-158d8c138507,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,9a3aed4f-c5de-4a85-b078-c7583b3aea39,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,78043291-22d6-4548-ba60-439f1bf2e81c,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,05c3ef18-1d6f-4681-bac3-cc5f39c82e06,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,329447f1-12de-40aa-8a2d-28708940be10,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,03d2de70-d6eb-4225-b403-27cc8fec4090,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,c0229d2d-6cd8-4336-a2c0-8464e96c4e62,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,cc3733b9-e971-408a-884b-c54b0f436691,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,cfac43be-2e67-4864-9a71-cd372c9906c3,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,2056845c-d5c5-487e-8366-1545a33d9ec9,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,d3594a07-a4f4-4a17-b8ef-e20a31f69c78,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,f4e19f83-17d7-4929-9f8c-910486024e9d,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,1ccfd56f-2043-4f78-a081-d0c5f7329b85,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,7391516c-e416-4589-83ae-12ff2ef25ea1,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,baa99288-9007-4033-bc7e-5924b554a16f,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,2d3528a5-08e4-442d-bf7f-cc9011a637d3,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,95f2577d-ce59-4a64-9e5b-ec8069370234,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,3ba96f8f-8301-4866-a2db-5ac76be57ef7,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,30094672-c48c-425a-84e0-4049073a68d3,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,2902661e-ccae-411c-8036-6ae9a7a1c2f3,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,623f8505-dd6c-499d-a91e-1bfb2f7139ca,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,b81df046-3df9-4a10-9437-18027d1999c5,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,89711bbc-c989-4916-a749-41d69e5e800e,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,e955a035-c8ac-45fb-ada4-3b443a9d1d2a,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,755aec5b-3915-45e3-af23-8bd050d6f411,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,a87b8eff-0853-453f-b40e-ebcd6731bf20,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,25ad77bf-5dab-48b3-8c3a-d983625852dd,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,261f8901-5440-48cf-b792-7680c2ac0dc3,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,a435b224-07aa-4d9e-ae08-7127b04f102f,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,a43061f4-3b33-465f-86b2-9b6a6e8dbbbc,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,5ec1fa62-82c2-471f-8c73-95e79250cb31,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,1b6da709-d058-4100-a436-ec032d0b6546,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,54680460-6cd0-45f8-9bc7-3e4837883030,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
